precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,rate,seed,clean_f1,clean_roc_auc,abs_f1_drop,abs_auc_drop
0.7225897920604915,0.7799030859474624,0.7501533177971299,0.712378640776699,0.5337622225853816,5569,3921,1648,0.5877577142496342,0.7802955593934799,1,10,Compact MLP,missing_30pct,0.3,46,0.8109645131938126,0.689953028626044,0.06081119539668267,0.10219531437640983
0.718756936736959,0.8496457622671215,0.7787397787397787,0.7899002493765586,0.5298727564452814,5415,3811,1604,0.6075047882785819,0.7826747905741154,2,3,Logistic Regression,missing_5pct,0.05,42,0.8238542241855329,0.6973161755804663,0.04511444544575416,0.08981138730188443
0.7134657836644591,0.8480713723432171,0.7749670303320945,0.8092269326683291,0.519422219837444,5415,3811,1604,0.5950656519289548,0.7710052214000035,2,3,Logistic Regression,missing_5pct,0.05,43,0.8238542241855329,0.6973161755804663,0.048887193853438426,0.10225052365151155
0.7171628721541156,0.8596168984518499,0.7819548872180451,0.8054862842892768,0.5270653070812865,5415,3811,1604,0.6167956355503266,0.7871296613086829,2,3,Logistic Regression,missing_5pct,0.05,44,0.8238542241855329,0.6973161755804663,0.04189933696748782,0.08052054003013975
0.7147279964617426,0.8480713723432171,0.7757110284411376,0.8042394014962594,0.5219159854234788,5415,3811,1604,0.59253434244355,0.7700224832810889,2,3,Logistic Regression,missing_5pct,0.05,45,0.8238542241855329,0.6973161755804663,0.048143195744395295,0.10478183313691636
0.7169149868536372,0.858567305169247,0.7813731343283582,0.8054862842892768,0.5265405104399851,5415,3811,1604,0.6038600854201416,0.7783494996222746,2,3,Logistic Regression,missing_5pct,0.05,46,0.8238542241855329,0.6973161755804663,0.04248108985717469,0.09345609016032475
0.7253787878787878,0.8039884544738913,0.7626633478531425,0.7231920199501247,0.5403982172618833,5415,3811,1604,0.5844287863390591,0.7630054896942724,2,3,Logistic Regression,missing_10pct,0.1,42,0.8238542241855329,0.6973161755804663,0.0611908763323904,0.11288738924140718
0.7177400047881255,0.786670165310942,0.7506259389083625,0.7350374064837906,0.5258163794135757,5415,3811,1604,0.5697168944602544,0.7511394523193495,2,3,Logistic Regression,missing_10pct,0.1,43,0.8238542241855329,0.6973161755804663,0.0732282852771704,0.1275992811202119
0.7197724039829303,0.7966413014956705,0.7562585627101757,0.7369077306733167,0.5298667854111769,5415,3811,1604,0.5816932347692825,0.7628643031075615,2,3,Logistic Regression,missing_10pct,0.1,44,0.8238542241855329,0.6973161755804663,0.06759566147535723,0.11562294081118385
0.7220095693779904,0.791918131723957,0.7553497684895507,0.7244389027431422,0.5337396144904074,5415,3811,1604,0.5763177499703902,0.7543204455169464,2,3,Logistic Regression,missing_10pct,0.1,45,0.8238542241855329,0.6973161755804663,0.06850445569598218,0.12099842561007612
0.7178638941398866,0.7971660981369719,0.7554395126196692,0.7443890274314214,0.5263885353527753,5415,3811,1604,0.5740746860217601,0.7570118232315375,2,3,Logistic Regression,missing_10pct,0.1,46,0.8238542241855329,0.6973161755804663,0.06841471156586365,0.12324148955870617
0.7236001022756329,0.7425872474416164,0.732970732970733,0.6739401496259352,0.5343235489078406,5415,3811,1604,0.5530870737090625,0.7410148476152948,2,3,Logistic Regression,missing_20pct,0.2,42,0.8238542241855329,0.6973161755804663,0.09088349121479988,0.1442291018714038
0.7221649484536082,0.7352400944633954,0.7286438694578078,0.672069825436409,0.5315851345134932,5415,3811,1604,0.5511262842631024,0.7363734406565781,2,3,Logistic Regression,missing_20pct,0.2,43,0.8238542241855329,0.6973161755804663,0.0952103547277251,0.14618989131736393
0.7215894710199949,0.748097612175282,0.734604483380572,0.685785536159601,0.5311560380078405,5415,3811,1604,0.5562422335659146,0.7427645419176698,2,3,Logistic Regression,missing_20pct,0.2,44,0.8238542241855329,0.6973161755804663,0.08924974080496084,0.1410739420145517
0.7236270753512133,0.7433744424035686,0.733367848822159,0.6745635910224439,0.5344054256905624,5415,3811,1604,0.5617157905551,0.7440306671797142,2,3,Logistic Regression,missing_20pct,0.2,45,0.8238542241855329,0.6973161755804663,0.0904863753633739,0.1356003850253663
0.7105197087622395,0.7425872474416164,0.7261996407492943,0.7188279301745636,0.5118796586335264,5415,3811,1604,0.5375090547051422,0.7265548482906119,2,3,Logistic Regression,missing_20pct,0.2,46,0.8238542241855329,0.6973161755804663,0.09765458343623856,0.15980712087532412
0.7152300370174511,0.7097874573602729,0.7124983537468721,0.6714463840399002,0.5191705366601863,5415,3811,1604,0.5357203619133746,0.7319109928373269,2,3,Logistic Regression,missing_30pct,0.3,42,0.8238542241855329,0.6973161755804663,0.1113558704386608,0.16159581366709175
0.7220896313975073,0.7145106271319863,0.7182801371669744,0.6533665835411472,0.5305720217954196,5415,3811,1604,0.5386301368070247,0.7291457080854916,2,3,Logistic Regression,missing_30pct,0.3,43,0.8238542241855329,0.6973161755804663,0.10557408701855853,0.15868603877344167
0.7182363683798592,0.7223825767515087,0.7203035060177917,0.6733167082294265,0.5245329342610412,5415,3811,1604,0.538367411306423,0.7289280666159035,2,3,Logistic Regression,missing_30pct,0.3,44,0.8238542241855329,0.6973161755804663,0.1035507181677412,0.15894876427404336
0.7169513797634691,0.7158226187352401,0.7163865546218487,0.6714463840399002,0.5221881173476699,5415,3811,1604,0.5313123482294002,0.7221082088381633,2,3,Logistic Regression,missing_30pct,0.3,45,0.8238542241855329,0.6973161755804663,0.10746766956368414,0.1660038273510661
0.7135050741608119,0.7194961952243506,0.7164881107917429,0.6864089775561097,0.5165436088341204,5415,3811,1604,0.5220300894313679,0.713688345716047,2,3,Logistic Regression,missing_30pct,0.3,46,0.8238542241855329,0.6973161755804663,0.10736611339378999,0.17528608614909846
0.7549857549857549,0.9039622146418262,0.8227848101265823,0.6970074812967582,0.603477366672534,5415,3811,1604,0.6780689970167733,0.8222695754308189,2,3,Random Forest,missing_5pct,0.05,42,0.8146980354111084,0.6750586960831979,-0.008086774715473921,-0.0030103009335753494
