precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition
0.7667926112510496,0.9203829680020156,0.836596816672392,0.8666146645865834,0.5268841517077161,5251,3969,1282,0.6176410472896618,0.824479868021638,7,11,Compact MLP,logs_unavailable
0.746620316724604,0.9887468030690537,0.8507922535211268,0.9894419306184012,0.49965243622532624,5236,3910,1326,0.6969849517615426,0.875465493285968,8,7,Logistic Regression,logs_unavailable
0.7945368171021377,0.8554987212276215,0.8238916256157636,0.6523378582202112,0.6015804315037052,5236,3910,1326,0.7152942526607338,0.8702795993253987,8,7,Random Forest,logs_unavailable
0.8048019207683074,0.8572890025575448,0.8302167182662539,0.6131221719457014,0.6220834153059217,5236,3910,1326,0.7442038629341172,0.9029144095847629,8,7,XGBoost,logs_unavailable
0.7667364016736402,0.9373401534526854,0.8434982738780207,0.8408748114630468,0.5482326709948193,5236,3910,1326,0.6662265220863085,0.8613052139138008,8,7,Compact MLP,logs_unavailable
0.6577613104524181,0.9768317405154938,0.7861554597366275,0.9909655561829475,0.4929330921662732,5224,3453,1771,0.6458706681953008,0.802198610806365,9,12,Logistic Regression,logs_unavailable
0.7101903155866056,0.8537503620040544,0.7753813782219884,0.6792772444946358,0.5872365587547093,5224,3453,1771,0.6273498784925522,0.7475100359461315,9,12,Random Forest,logs_unavailable
0.7052682689973294,0.8412974225311324,0.7673005810882197,0.6854884246188594,0.5779044989561365,5224,3453,1771,0.6662755142338114,0.8200702402984208,9,12,XGBoost,logs_unavailable
0.6941525810872544,0.8801042571676803,0.7761460860681906,0.7560700169395822,0.562017120114049,5224,3453,1771,0.6523456145712785,0.8010471531846705,9,12,Compact MLP,logs_unavailable
0.6539731882650087,0.9894179894179894,0.7874605216984443,0.9894444444444445,0.4999867724867725,5202,3402,1800,0.6200303742896336,0.7729951742127656,10,4,Logistic Regression,logs_unavailable
0.7096774193548387,0.8794826572604351,0.7855080073510108,0.68,0.5997413286302176,5202,3402,1800,0.6498601312953165,0.7553049467610571,10,4,Random Forest,logs_unavailable
0.7055259331071255,0.8556731334509112,0.7733793836344315,0.675,0.5903365667254556,5202,3402,1800,0.6613990136521001,0.7987899392488638,10,4,XGBoost,logs_unavailable
0.6915678819056139,0.9088771310993533,0.7854693255429951,0.7661111111111111,0.5713830099941211,5202,3402,1800,0.6690566006924031,0.7919954773540144,10,4,Compact MLP,logs_unavailable
0.7264547090581883,0.9872282608695652,0.8370003455823062,0.9237002025658338,0.5317640291518656,5161,3680,1481,0.6280790373719285,0.8260451180007455,11,5,Logistic Regression,logs_unavailable
0.7621290626471974,0.8793478260869565,0.8165531163260157,0.6819716407832546,0.598688092651851,5161,3680,1481,0.6804485438745853,0.8122406468371538,11,5,Random Forest,logs_unavailable
0.7650048402710552,0.8589673913043478,0.8092677931387608,0.6556380823767725,0.6016646544637877,5161,3680,1481,0.6831512564953176,0.8509201033215997,11,5,XGBoost,logs_unavailable
0.7327798967915639,0.8875,0.802752857318422,0.8041863605671843,0.5416568197164078,5161,3680,1481,0.6297935076182368,0.8105694291066458,11,5,Compact MLP,logs_unavailable
0.7381422924901185,0.992822966507177,0.8467467694400362,0.9793052475979305,0.5067588594546233,5115,3762,1353,0.6624538849419233,0.8586312614275331,12,14,Logistic Regression,logs_unavailable
0.7657183839349749,0.8514088250930356,0.8062932662051605,0.7243163340724317,0.563546245510302,5115,3762,1353,0.653346001344601,0.8378449805687059,12,14,Random Forest,logs_unavailable
0.7708881972707685,0.8559276980329612,0.8111852878196246,0.7073170731707317,0.5743053124311147,5115,3762,1353,0.6886382398694221,0.8760410958376875,12,14,XGBoost,logs_unavailable
0.7509367423407538,0.9056353003721425,0.8210627786480299,0.8351810790835181,0.5352271106443122,5115,3762,1353,0.6435622809178649,0.8475017655909898,12,14,Compact MLP,logs_unavailable
0.6991168205539944,0.9880851063829788,0.8188550605383802,0.9708549222797928,0.508615092051593,5069,3525,1544,0.7138364017197663,0.8595634222152817,13,2,Logistic Regression,logs_unavailable
0.7385892116182573,0.8584397163120567,0.794017318289163,0.6936528497409327,0.582393433285562,5069,3525,1544,0.656231396758902,0.8021612756695284,13,2,Random Forest,logs_unavailable
0.7460355598270062,0.8808510638297873,0.8078574216209184,0.6845854922279793,0.598132785800904,5069,3525,1544,0.6970218278028883,0.8546649785005089,13,2,XGBoost,logs_unavailable
0.7298850574712644,0.900709219858156,0.8063492063492064,0.7610103626943006,0.5698494285819278,5069,3525,1544,0.673248079961783,0.8205879766400673,13,2,Compact MLP,logs_unavailable
0.7005522601759051,0.9813753581661891,0.8175199904523213,0.991198375084631,0.49508849154077905,4967,3490,1477,0.6269117878142987,0.8163344955202452,14,6,Logistic Regression,logs_unavailable
0.7445898339204832,0.8478510028653296,0.7928724544480171,0.6872037914691943,0.5803236056980676,4967,3490,1477,0.6522975015180232,0.8126005871980198,14,6,Random Forest,logs_unavailable
0.7343238478972551,0.8355300859598854,0.781664656212304,0.7142857142857143,0.5606221858370856,4967,3490,1477,0.6596907112496677,0.8414274955376839,14,6,XGBoost,logs_unavailable
0.7141874856749942,0.8928366762177651,0.793582070546288,0.8442789438050101,0.5242788662063774,4967,3490,1477,0.6170945907933102,0.8080011353279686,14,6,Compact MLP,logs_unavailable
0.7771428571428571,0.9849974133471289,0.8688113164499202,0.9927272727272727,0.4961350703099281,4966,3866,1100,0.7015656304378498,0.9017364390134747,15,1,Logistic Regression,logs_unavailable
0.8202949262684329,0.8489394723228143,0.8343714249396212,0.6536363636363637,0.5976515543432254,4966,3866,1100,0.6909776372101774,0.8835765760672457,15,1,Random Forest,logs_unavailable
0.8151575787893947,0.8429901707190895,0.8288402848423194,0.6718181818181819,0.5855859944504539,4966,3866,1100,0.723768518083055,0.9123471130303478,15,1,XGBoost,logs_unavailable
0.8003688335638544,0.8980858768753234,0.8464163822525598,0.7872727272727272,0.5554065748012981,4966,3866,1100,0.6747575600808917,0.8838888400407298,15,1,Compact MLP,logs_unavailable
