precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,model,fold_id
0.7812559286662872,1.0,0.877196719565449,1.0,0.5,5271,4118,1153,0.5266462849832795,0.7913014779465252,XGBoost,6
0.7865100263317805,0.9429334628460417,0.857647708448371,0.9141370338248048,0.5143982145106184,5271,4118,1153,0.5211685671645689,0.7897234066319577,Compact MLP,6
0.7545014520813166,0.981859410430839,0.8532953798992774,0.9890795631825273,0.49638992362415585,5251,3969,1282,0.5438885960578257,0.7743690672880591,Logistic Regression,7
0.7558560274233479,1.0,0.8609544468546638,1.0,0.5,5251,3969,1282,0.5400204745907146,0.7714839908627436,Random Forest,7
0.7558560274233479,1.0,0.8609544468546638,1.0,0.5,5251,3969,1282,0.4713094343879576,0.7456610081506926,XGBoost,7
0.6462882096069869,0.03728898966994205,0.07050976655550262,0.06318252730109204,0.487053231184425,5251,3969,1282,0.4967765981992265,0.7583177996176323,Compact MLP,7
0.7453416149068323,0.9820971867007673,0.8474950342087839,0.9894419306184012,0.496327628041183,5236,3910,1326,0.5309332723843029,0.7617509958366805,Logistic Regression,8
0.7467532467532467,1.0,0.8550185873605948,1.0,0.5,5236,3910,1326,0.4919882885280809,0.745658540562246,Random Forest,8
0.7467532467532467,1.0,0.8550185873605948,1.0,0.5,5236,3910,1326,0.5161977834612106,0.7529312055054299,XGBoost,8
0.8585858585858586,0.043478260869565216,0.0827653359298929,0.021116138763197588,0.5111810610531838,5236,3910,1326,0.538165569198366,0.765427292690053,Compact MLP,8
0.6590291262135922,0.9829134086301766,0.7890270835754969,0.9915302089215132,0.4956915998543317,5224,3453,1771,0.5211591063213471,0.6751794154213825,Logistic Regression,9
0.6609877488514548,1.0,0.7958971994929123,1.0,0.5,5224,3453,1771,0.514446884786476,0.6679306832131537,Random Forest,9
0.6609877488514548,1.0,0.7958971994929123,1.0,0.5,5224,3453,1771,0.5082289183637727,0.6646970139258946,XGBoost,9
1.0,0.008977700550246163,0.017795637198622274,0.0,0.5044888502751231,5224,3453,1771,0.5262859504161963,0.6764040980543615,Compact MLP,9
0.6514084507042254,0.9788359788359788,0.7822410147991543,0.99,0.4944179894179894,5202,3402,1800,0.5243706316545822,0.6686685937641491,Logistic Regression,10
0.6539792387543253,1.0,0.7907949790794979,1.0,0.5,5202,3402,1800,0.5087750669540794,0.6578535043868637,Random Forest,10
0.6539792387543253,1.0,0.7907949790794979,1.0,0.5,5202,3402,1800,0.5,0.6539792387543253,XGBoost,10
0.6541049798115747,1.0,0.790886899918633,0.9994444444444445,0.5002777777777778,5202,3402,1800,0.4880186491606244,0.6551019479783364,Compact MLP,10
0.7153692614770459,0.9739130434782609,0.8248561565017262,0.962862930452397,0.5055250565129319,5161,3680,1481,0.5279985798373602,0.7273743862005757,Logistic Regression,11
0.7130401085061034,1.0,0.8324850130075784,1.0,0.5,5161,3680,1481,0.49405871106479177,0.7130124577915682,Random Forest,11
0.7130401085061034,1.0,0.8324850130075784,1.0,0.5,5161,3680,1481,0.5117502862343305,0.7178820307662441,XGBoost,11
0.7152917505030181,0.9660326086956522,0.8219653179190751,0.9554355165428764,0.5052985460763879,5161,3680,1481,0.5055618449637437,0.7162223800128172,Compact MLP,11
0.7352475247524752,0.9869750132908027,0.8427144802541988,0.9881744271988174,0.49940029304599265,5115,3762,1353,0.5409136685248249,0.7535337501806486,Logistic Regression,12
0.7354838709677419,1.0,0.8475836431226765,1.0,0.5,5115,3762,1353,0.5145689005824378,0.7412256013414633,Random Forest,12
0.7354838709677419,1.0,0.8475836431226765,1.0,0.5,5115,3762,1353,0.5146425746554115,0.7412264857365752,XGBoost,12
0.7441811256876851,0.9348750664540139,0.8286993402450519,0.893569844789357,0.5206526108323284,5115,3762,1353,0.52508690593648,0.7460584993131999,Compact MLP,12
0.6939019529693105,0.9878014184397164,0.8151703148776777,0.9948186528497409,0.4964913827949877,5069,3525,1544,0.5332580016903686,0.7130857930895034,Logistic Regression,13
0.69540343262971,1.0,0.8203397719339074,1.0,0.5,5069,3525,1544,0.4780395399257707,0.6834253652686418,Random Forest,13
0.69540343262971,1.0,0.8203397719339074,1.0,0.5,5069,3525,1544,0.49962912946018445,0.6925619195419069,XGBoost,13
0.7032830889944249,0.9662411347517731,0.8140535372848948,0.930699481865285,0.517770826443244,5069,3525,1544,0.5336129790908757,0.7123011639084647,Compact MLP,13
0.7009844134536505,0.9793696275071633,0.8171169017451589,0.987136086662153,0.4961167704225051,4967,3490,1477,0.5328492471962644,0.7200143423622751,Logistic Regression,14
0.702637406885444,1.0,0.8253517795908715,1.0,0.5,4967,3490,1477,0.5033398451519285,0.701193081178003,Random Forest,14
0.702637406885444,1.0,0.8253517795908715,1.0,0.5,4967,3490,1477,0.499262909987526,0.702333508987114,XGBoost,14
0.8013245033112583,0.034670487106017195,0.06646525679758308,0.020311442112389978,0.5071795224968136,4967,3490,1477,0.5241516044487297,0.7127328162919483,Compact MLP,14
0.777868517762352,0.9855147439213657,0.8694659972615244,0.9890909090909091,0.4982119174152283,4966,3866,1100,0.535881343178291,0.793021903708862,Logistic Regression,15
0.7784937575513492,1.0,0.8754528985507246,1.0,0.5,4966,3866,1100,0.48910478295630905,0.7750897975772867,Random Forest,15
0.7784937575513492,1.0,0.8754528985507246,1.0,0.5,4966,3866,1100,0.5229924046465692,0.7865922340227844,XGBoost,15
0.958041958041958,0.035437144335230215,0.06834622100274383,0.005454545454545455,0.5149912994403424,4966,3866,1100,0.5372021821944222,0.7937546561244094,Compact MLP,15
