precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,clean_f1,clean_roc_auc,abs_f1_drop,abs_auc_drop
0.7219846022241232,0.9456582633053221,0.8188212466650497,0.7344632768361582,0.605597493234582,5340,3570,1770,0.7038954564876798,0.8130716081117824,3,9,Random Forest,relay_loss_R1,0.7962414725189857,0.7273101330927851,-0.022579774146064047,0.023414676605105322
0.7102783725910065,0.9291316526610645,0.8050970873786408,0.764406779661017,0.5823624365000237,5340,3570,1770,0.7073599835414393,0.8348903623601163,3,9,Random Forest,relay_loss_R2,0.7962414725189857,0.7273101330927851,-0.008855614859655137,0.019950149551345886
0.7134315609651932,0.9358543417366947,0.8096449775839089,0.7581920903954802,0.5888311256706072,5340,3570,1770,0.7202118248429314,0.8339130481257504,3,9,Random Forest,relay_loss_R3,0.7962414725189857,0.7273101330927851,-0.01340350506492316,0.007098308249853691
0.7072432432432433,0.9162464985994397,0.7982916412446613,0.7649717514124293,0.5756373735935052,5340,3570,1770,0.6023525455379892,0.7551144655280096,3,9,Random Forest,relay_loss_R4,0.7962414725189857,0.7273101330927851,-0.0020501687256756496,0.12495758755479591
0.7333803147756636,0.8745098039215686,0.7977513734508752,0.6412429378531074,0.6166334330342307,5340,3570,1770,0.7322519742360221,0.8572521367187093,3,9,XGBoost,relay_loss_R1,0.8014676975494692,0.7607711785279083,0.003716324098594015,0.028519204291886258
0.7267525035765379,0.853781512605042,0.7851622874806801,0.6474576271186441,0.6031619427431989,5340,3570,1770,0.7176142208295747,0.8501967300860118,3,9,XGBoost,relay_loss_R2,0.8014676975494692,0.7607711785279083,0.01630541006878916,0.04315695769833361
0.7133992185704435,0.869467787114846,0.7837394268400455,0.7045197740112994,0.5824740065517733,5340,3570,1770,0.6970432353732453,0.8281269443721475,3,9,XGBoost,relay_loss_R3,0.8014676975494692,0.7607711785279083,0.017728270709423732,0.06372794315466301
0.7095579726915066,0.8588235294117647,0.7770878215688759,0.7090395480225988,0.5748919906945829,5340,3570,1770,0.6714303122378895,0.8180305766298225,3,9,XGBoost,relay_loss_R4,0.8014676975494692,0.7607711785279083,0.024379875980593324,0.0893408662900188
0.7493975903614458,0.6969187675070028,0.7222060957910015,0.47005649717514125,0.6134311351659307,5340,3570,1770,0.6644563135988859,0.7962223517010207,3,9,Compact MLP,relay_loss_R1,0.8057589673575772,0.7152487774770926,0.08355287156657576,0.050792463878206684
0.7006060606060606,0.8095238095238095,0.751137102014295,0.6977401129943502,0.5558918482647296,5340,3570,1770,0.6265141084682462,0.7683154674198107,3,9,Compact MLP,relay_loss_R2,0.8057589673575772,0.7152487774770926,0.05462186534328228,0.08873466900884641
0.7102952913008779,0.7478991596638656,0.7286123618501842,0.6152542372881356,0.566322461187865,5340,3570,1770,0.6433961607241766,0.7846259437109986,3,9,Compact MLP,relay_loss_R3,0.8057589673575772,0.7152487774770926,0.07714660550739305,0.07185261675291599
0.6926386233269598,0.8117647058823529,0.7474851689450606,0.7265536723163842,0.5426055167829844,5340,3570,1770,0.6061058095554606,0.7581814238797475,3,9,Compact MLP,relay_loss_R4,0.8057589673575772,0.7152487774770926,0.058273798412516675,0.10914296792163203
0.742183960126869,0.8687350835322196,0.8004886988393403,0.7370466321243523,0.5658442257039337,5315,3771,1544,0.6779540617447304,0.8500458783394914,4,8,Logistic Regression,relay_loss_R1,0.8299289019298047,0.6979094961136462,0.029440203090464467,0.01995543436891578
0.7216689098250336,0.7109520021214532,0.7162703713598718,0.6696891191709845,0.5206314414752343,5315,3771,1544,0.5246995065972524,0.7348749921836,4,8,Logistic Regression,relay_loss_R2,0.8299289019298047,0.6979094961136462,0.11365853056993291,0.17320998951639377
0.7347347347347347,0.7785733227260674,0.7560190549761813,0.6865284974093264,0.5460224126583705,5315,3771,1544,0.5561728242395264,0.7437319379262877,4,8,Logistic Regression,relay_loss_R3,0.8299289019298047,0.6979094961136462,0.07390984695362346,0.14173667187411976
0.7442273534635879,0.7777777777777778,0.7606327800829875,0.6528497409326425,0.5624640184225677,5315,3771,1544,0.5794888864156922,0.758267189140786,4,8,Logistic Regression,relay_loss_R4,0.8299289019298047,0.6979094961136462,0.06929612184681722,0.11842060969795398
0.7521729913080347,0.9408644921771413,0.8360037700282752,0.7571243523316062,0.5918700699227676,5315,3771,1544,0.674976693555811,0.8230040588470279,4,8,Random Forest,relay_loss_R1,0.8088844271552265,0.6875480040615387,-0.027119342873048735,0.012571310505727684
0.751801610852056,0.9405993105277115,0.8356696901873012,0.758419689119171,0.5910898107042702,5315,3771,1544,0.6982186457049504,0.8461223105517993,4,8,Random Forest,relay_loss_R2,0.8088844271552265,0.6875480040615387,-0.026785263032074735,-0.010670641643411694
0.7465399710803553,0.958366481039512,0.8392940083604273,0.7946891191709845,0.5818386809342638,5315,3771,1544,0.6953881235719006,0.8349920151366275,4,8,Random Forest,relay_loss_R3,0.8088844271552265,0.6875480040615387,-0.030409581205200875,-0.007840119510361898
0.7283372365339579,0.9071864226995492,0.8079829948039678,0.8264248704663213,0.540380776116614,5315,3771,1544,0.6109378155902078,0.788557109005255,4,8,Random Forest,relay_loss_R4,0.8088844271552265,0.6875480040615387,0.0009014323512586131,0.07661018847133094
0.7507318171582977,0.8841156191991514,0.8119824646858256,0.7169689119170984,0.5835733536410265,5315,3771,1544,0.6600944039801979,0.8286750091993973,4,8,XGBoost,relay_loss_R1,0.8010616784630941,0.6987582834915492,-0.010920786222731516,0.03866387951135131
0.7646780303030303,0.856536727658446,0.8080050031269543,0.6437823834196891,0.6063771721193785,5315,3771,1544,0.6825985191047578,0.8477707576587263,4,8,XGBoost,relay_loss_R2,0.8010616784630941,0.6987582834915492,-0.006943324663860273,0.016159764386791453
0.7445339470655926,0.8578626359055953,0.7971907343518975,0.7189119170984456,0.5694753594035749,5315,3771,1544,0.6455502038326306,0.8025275443392794,4,8,XGBoost,relay_loss_R3,0.8010616784630941,0.6987582834915492,0.0038709441111965948,0.053208079658918606
0.739341727413298,0.8875629806417396,0.8067004097372861,0.7642487046632125,0.5616571379892635,5315,3771,1544,0.6549774629947939,0.8209869370813292,4,8,XGBoost,relay_loss_R4,0.8010616784630941,0.6987582834915492,-0.00563873127419201,0.04378082049675536
0.7697907188353048,0.6730310262529833,0.7181663837011885,0.49158031088082904,0.5907253576860771,5315,3771,1544,0.6019283377507374,0.7529324578961323,4,8,Compact MLP,relay_loss_R1,0.8050584586017657,0.6723995023378578,0.08689207490057727,0.07047116458712044
0.7385955920041004,0.7642535136568549,0.7512055258699335,0.6606217616580311,0.5518158759994118,5315,3771,1544,0.5856273091756973,0.7569420082828631,4,8,Compact MLP,relay_loss_R2,0.8050584586017657,0.6723995023378578,0.053852932731832226,0.08677219316216056
0.7661290322580645,0.7053831874834261,0.7345022780615766,0.5259067357512953,0.5897382258660654,5315,3771,1544,0.644899615692708,0.8090173636353464,4,8,Compact MLP,relay_loss_R3,0.8050584586017657,0.6723995023378578,0.07055618054018908,0.027499886645149796
0.7282455646296818,0.6857597454256166,0.7063643813165802,0.625,0.5303798727128083,5315,3771,1544,0.5596103959450565,0.7441484524506425,4,8,Compact MLP,relay_loss_R4,0.8050584586017657,0.6723995023378578,0.09869407728518553,0.11278910639280137
0.6648374841705361,0.9224011713030746,0.7727216975346498,0.8533046749059645,0.5345482481985551,5276,3415,1861,0.6886692477084141,0.8213890232103216,5,15,Logistic Regression,relay_loss_R1,0.7842630651790957,0.7156952881171115,0.01154136764444591,0.027026040408697383
0.6771736275282375,0.7549048316251831,0.7139296593741346,0.6603976356797421,0.5472535979727204,5276,3415,1861,0.6320201280345664,0.7724938795309542,5,15,Logistic Regression,relay_loss_R2,0.7842630651790957,0.7156952881171115,0.07033340580496117,0.08367516008254505
0.6132102682434382,0.6225475841874085,0.6178436501017146,0.7205803331542182,0.4509836255165952,5276,3415,1861,0.46685231180515835,0.6467451983541037,5,15,Logistic Regression,relay_loss_R3,0.7842630651790957,0.7156952881171115,0.16641941507738112,0.24884297631195312
0.6917628541448059,0.7721815519765739,0.7297633872976339,0.631380977968834,0.57040028700387,5276,3415,1861,0.6248741407782306,0.7461416860892711,5,15,Logistic Regression,relay_loss_R4,0.7842630651790957,0.7156952881171115,0.05449967788146182,0.09082114733888091
0.6975885292200739,0.9402635431918008,0.8009478672985783,0.7479849543256314,0.5961392944330848,5276,3415,1861,0.67641627519643,0.7558904082135595,5,15,Random Forest,relay_loss_R1,0.7870641469257387,0.720690634531884,-0.01388372037283958,0.04427435933545398
0.6941125353030633,0.9355783308931186,0.7969568470940385,0.7565824825362708,0.5894979241784238,5276,3415,1861,0.710747382309138,0.8099811387383372,5,15,Random Forest,relay_loss_R2,0.7870641469257387,0.720690634531884,-0.009892700168299795,0.009943252222745946
0.6978233034571063,0.9575402635431918,0.8073077397852118,0.7608812466415905,0.5983295084508006,5276,3415,1861,0.7148901352647351,0.7946197962258048,5,15,Random Forest,relay_loss_R3,0.7870641469257387,0.720690634531884,-0.02024359285947308,0.005800499267148873
0.6682515668899935,0.9054172767203514,0.7689629445411589,0.8248253627082214,0.540295957006065,5276,3415,1861,0.5666048811113218,0.7088386975690707,5,15,Random Forest,relay_loss_R4,0.7870641469257387,0.720690634531884,0.018101202384579795,0.1540857534205622
0.7032287611632699,0.8992679355783308,0.7892572603443845,0.6963997850617948,0.6014340752582681,5276,3415,1861,0.7253292716411383,0.8280669249750787,5,15,XGBoost,relay_loss_R1,0.7867755320572882,0.7414479848756513,-0.002481728287096252,0.016118713234513082
0.727510460251046,0.8146412884333821,0.7686144495096008,0.5599140247178936,0.6273636318577442,5276,3415,1861,0.7221634175489334,0.8311802673132381,5,15,XGBoost,relay_loss_R2,0.7867755320572882,0.7414479848756513,0.018161082547687446,0.019284567326717905
0.6669337071900661,0.9751098096632503,0.7921027592768791,0.8936055883933369,0.5407521106349568,5276,3415,1861,0.6912207341414233,0.8009205928066945,5,15,XGBoost,relay_loss_R3,0.7867755320572882,0.7414479848756513,-0.005327227219590891,0.05022725073422807
0.6663776284413614,0.9001464128843338,0.7658196312904834,0.8269747447608813,0.5365858340617263,5276,3415,1861,0.6259406496766879,0.7834474059956476,5,15,XGBoost,relay_loss_R4,0.7867755320572882,0.7414479848756513,0.02095590076680487,0.11550733519896339
