precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,threshold_rule,threshold_value,alerts_per_1000,false_alarms_per_1000,misses_per_1000_attacks
0.7821380243572396,0.7663749668522938,0.7741762657380123,0.5213730569948186,0.6225009549287376,5315,3771,1544,0.6875480040615387,0.8304612503117248,4,8,Random Forest,max_youden_j,0.6,695.2022577610536,151.45813734713076,233.62503314770618
0.7821380243572396,0.7663749668522938,0.7741762657380123,0.5213730569948186,0.6225009549287376,5315,3771,1544,0.6875480040615387,0.8304612503117248,4,8,Random Forest,constrained_fpr_10pct,0.6,695.2022577610536,151.45813734713076,233.62503314770618
0.7652740883844482,0.8403606470432247,0.8010616784630941,0.6295336787564767,0.605413484143374,5315,3771,1544,0.6987582834915492,0.8529607729360729,4,8,XGBoost,fixed_0.5,0.5,779.1157102539981,182.87864534336785,159.63935295677538
0.7788944723618091,0.7809599575709361,0.7799258474576272,0.5414507772020726,0.6197545901844318,5315,3771,1544,0.6987582834915492,0.8529607729360729,4,8,XGBoost,max_f1,0.5821210741996765,711.3828786453433,157.2906867356538,219.0400424290639
0.7855319148936171,0.7342879872712809,0.759046052631579,0.4896373056994819,0.6223253407858995,5315,3771,1544,0.6987582834915492,0.8529607729360729,4,8,XGBoost,max_youden_j,0.6394952535629272,663.2173095014111,142.23894637817497,265.7120127287192
0.7744438696326953,0.7939538583929993,0.7840775173497446,0.5647668393782384,0.6145935095073805,5315,3771,1544,0.6987582834915492,0.8529607729360729,4,8,XGBoost,constrained_fpr_10pct,0.5618686079978943,727.3753527751646,164.06396989651927,206.0461416070008
0.731728475384949,0.8947228851763458,0.8050584586017657,0.8011658031088082,0.5467785410337688,5315,3771,1544,0.6723995023378578,0.8196805065877342,4,8,Compact MLP,fixed_0.5,0.5,867.5446848541862,232.73753527751646,105.2771148236542
0.7310503236583838,0.9284009546539379,0.8179906542056075,0.8341968911917098,0.547102031731114,5315,3771,1544,0.6723995023378578,0.8196805065877342,4,8,Compact MLP,max_f1,0.46001871686407997,901.0348071495766,242.33301975540923,71.59904534606206
0.8017015706806283,0.6496950411031557,0.7177383916800938,0.39248704663212436,0.6286039972355157,5315,3771,1544,0.6723995023378578,0.8196805065877342,4,8,Compact MLP,max_youden_j,0.7117187295304541,574.9764816556915,114.01693320790217,350.3049588968443
0.8240384615384615,0.4545213471227791,0.585882755084601,0.23704663212435234,0.6087373574992134,5315,3771,1544,0.6723995023378578,0.8196805065877342,4,8,Compact MLP,constrained_fpr_10pct,0.7958192839318741,391.3452492944497,68.86171213546565,545.4786528772208
