precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,feature_budget,placement,threshold_rule,seed,train_time_sec,model_path
0.7533570300157978,0.9757033248081841,0.8502340093603744,0.9419306184012066,0.5168863532034887,5236,3910,1326,0.7076236435947584,0.8814734863290563,8,7,Logistic Regression,clean,128,central,fixed_0.5,42,5.4462570839999955,RTS_Paper/outputs/models/logistic_regression_fold08.joblib
0.796521324755778,0.8549872122762149,0.8247193783150364,0.6440422322775264,0.6054724899993442,5236,3910,1326,0.7180927968275644,0.8721063034266457,8,7,Random Forest,clean,128,central,fixed_0.5,42,18.203200874999993,RTS_Paper/outputs/models/random_forest_fold08.joblib
0.808428190845241,0.8537084398976982,0.8304515487000871,0.5965309200603318,0.6285887599186832,5236,3910,1326,0.7492360154764246,0.9050498570388774,8,7,XGBoost,clean,128,central,fixed_0.5,42,2.190218625,RTS_Paper/outputs/models/xgboost_fold08.joblib
0.7753285290377279,0.9355498721227622,0.8479369494668522,0.799396681749623,0.5680765951865696,5236,3910,1326,0.6955107953076962,0.8791646605693383,8,7,Compact MLP,clean,128,central,fixed_0.5,42,4.4469669169999975,RTS_Paper/outputs/models/compact_mlp_fold08.joblib
0.6640780565511748,0.9658268172603534,0.7870206489675516,0.9525691699604744,0.5066288236499396,5224,3453,1771,0.6617605816789891,0.8127977654428121,9,12,Logistic Regression,clean,128,central,fixed_0.5,42,4.84806041600001,RTS_Paper/outputs/models/logistic_regression_fold09.joblib
0.7124546553808948,0.8531711555169418,0.7764891934633632,0.6713721061547149,0.5908995246811135,5224,3453,1771,0.6299072501051876,0.7507597880711496,9,12,Random Forest,clean,128,central,fixed_0.5,42,17.623153833000003,RTS_Paper/outputs/models/random_forest_fold09.joblib
0.706298828125,0.8378221836084564,0.7664591336600874,0.6792772444946358,0.5792724695569103,5224,3453,1771,0.6682365092065541,0.8213136530214555,9,12,XGBoost,clean,128,central,fixed_0.5,42,2.1265212910000173,RTS_Paper/outputs/models/xgboost_fold09.joblib
0.7018030513176144,0.8792354474370113,0.7805630543771693,0.7284020327498588,0.5754167073435763,5224,3453,1771,0.6720286600919699,0.8240974967224333,9,12,Compact MLP,clean,128,central,fixed_0.5,42,5.878211833000023,RTS_Paper/outputs/models/compact_mlp_fold09.joblib
0.6610845295055822,0.9747207524985303,0.7878355904015205,0.9444444444444444,0.5151381540270429,5202,3402,1800,0.6362322816643804,0.784512877904086,10,4,Logistic Regression,clean,128,central,fixed_0.5,42,5.407330791999982,RTS_Paper/outputs/models/logistic_regression_fold10.joblib
0.7109207708779444,0.8783068783068783,0.7857988165680473,0.675,0.6016534391534392,5202,3402,1800,0.6529958684433993,0.7587619029311576,10,4,Random Forest,clean,128,central,fixed_0.5,42,16.65744191699997,RTS_Paper/outputs/models/random_forest_fold10.joblib
0.7073884418434528,0.8527336860670194,0.7732906837265094,0.6666666666666666,0.5930335097001763,5202,3402,1800,0.6635988634136782,0.79975489367036,10,4,XGBoost,clean,128,central,fixed_0.5,42,2.1425385000000006,RTS_Paper/outputs/models/xgboost_fold10.joblib
0.6996353691886964,0.9024103468547913,0.7881899871630296,0.7322222222222222,0.5850940623162846,5202,3402,1800,0.6923985890652558,0.8179006666751614,10,4,Compact MLP,clean,128,central,fixed_0.5,42,6.948562541000001,RTS_Paper/outputs/models/compact_mlp_fold10.joblib
0.7329638752052545,0.9703804347826087,0.8351262862488307,0.8784604996623903,0.5459599675601092,5161,3680,1481,0.6432402827114464,0.8343258203655388,11,5,Logistic Regression,clean,128,central,fixed_0.5,42,5.198525750000044,RTS_Paper/outputs/models/logistic_regression_fold11.joblib
0.7629402032616402,0.8771739130434782,0.8160788775123247,0.6772451046590142,0.5999644041922321,5161,3680,1481,0.6821172349763673,0.8143493552917246,11,5,Random Forest,clean,128,central,fixed_0.5,42,16.25026250000002,RTS_Paper/outputs/models/random_forest_fold11.joblib
0.7683491831260668,0.85625,0.8099216039069528,0.6414584740040513,0.6073957629979743,5161,3680,1481,0.6855152584916184,0.8514951810476261,11,5,XGBoost,clean,128,central,fixed_0.5,42,2.1552516249999485,RTS_Paper/outputs/models/xgboost_fold11.joblib
0.742653810835629,0.8790760869565217,0.8051269288203086,0.7569209993247805,0.5610775438158706,5161,3680,1481,0.658629047647007,0.839640598898647,11,5,Compact MLP,clean,128,central,fixed_0.5,42,4.063642290999951,RTS_Paper/outputs/models/compact_mlp_fold11.joblib
0.7475076297049847,0.9766081871345029,0.8468364642157428,0.9172209903917221,0.5296935983713904,5115,3762,1353,0.6810350755385182,0.8686085669257152,12,14,Logistic Regression,clean,128,central,fixed_0.5,42,5.134469750000051,RTS_Paper/outputs/models/logistic_regression_fold12.joblib
0.7690642290113062,0.8498139287612971,0.807425179946963,0.7095343680709535,0.5701397803451719,5115,3762,1353,0.6562797029304206,0.8396626497369171,12,14,Random Forest,clean,128,central,fixed_0.5,42,15.322769791999974,RTS_Paper/outputs/models/random_forest_fold12.joblib
0.7735073724921441,0.8506113769271664,0.8102291429294848,0.6925351071692535,0.5790381348789564,5115,3762,1353,0.6925633980132755,0.8774012416569025,12,14,XGBoost,clean,128,central,fixed_0.5,42,2.251302959000043,RTS_Paper/outputs/models/xgboost_fold12.joblib
0.760623869801085,0.8944710260499734,0.8221353530417786,0.7827050997782705,0.5558829631358515,5115,3762,1353,0.6667580225171543,0.8612600963990139,12,14,Compact MLP,clean,128,central,fixed_0.5,42,5.905960624999977,RTS_Paper/outputs/models/compact_mlp_fold12.joblib
0.7049180327868853,0.975886524822695,0.8185603807257584,0.9326424870466321,0.5216220188880314,5069,3525,1544,0.7269211406313159,0.8672218548277093,13,2,Logistic Regression,clean,128,central,fixed_0.5,42,5.140396292000048,RTS_Paper/outputs/models/logistic_regression_fold13.joblib
0.7394711067580804,0.8567375886524823,0.7937968195557892,0.689119170984456,0.5838092088340132,5069,3525,1544,0.6585057693014368,0.804713193344207,13,2,Random Forest,clean,128,central,fixed_0.5,42,15.485964499999966,RTS_Paper/outputs/models/random_forest_fold13.joblib
0.7488473671438971,0.8754609929078014,0.8072194611561601,0.6703367875647669,0.6025621026715173,5069,3525,1544,0.6995825524565465,0.8556350163332439,13,2,XGBoost,clean,128,central,fixed_0.5,42,2.1142106249999983,RTS_Paper/outputs/models/xgboost_fold13.joblib
0.7351502445842069,0.8953191489361703,0.807367613200307,0.7363989637305699,0.5794600926028002,5069,3525,1544,0.6882515709403594,0.8379892301615324,13,2,Compact MLP,clean,128,central,fixed_0.5,42,4.325474374999999,RTS_Paper/outputs/models/compact_mlp_fold13.joblib
0.7065330828637028,0.9699140401146131,0.817534114237411,0.9519295870006771,0.5089922265569681,4967,3490,1477,0.6479578949818905,0.8276496575920638,14,6,Logistic Regression,clean,128,central,fixed_0.5,42,5.060377667000012,RTS_Paper/outputs/models/logistic_regression_fold14.joblib
0.7466531952513261,0.8469914040114613,0.7936635790038932,0.6790792146242384,0.5839560946936115,4967,3490,1477,0.6559736397444677,0.8150857688779949,14,6,Random Forest,clean,128,central,fixed_0.5,42,14.879610833000015,RTS_Paper/outputs/models/random_forest_fold14.joblib
