precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,feature_budget,placement,threshold_rule,seed,train_time_sec
0.7607046733545387,0.824449748077433,0.7912954950369051,0.633419689119171,0.595515029479131,5315,3771,1544,0.670253574799774,0.8202874341105006,4,8,XGBoost,clean,32,central,fixed_0.5,42,0.927329291999996
0.7374917346264052,0.8872977989923098,0.8054886856042369,0.7713730569948186,0.5579623709987456,5315,3771,1544,0.6802754316758793,0.8207879729508003,4,8,Compact MLP,clean,32,central,fixed_0.5,42,4.167689833000026
0.7148014440433214,0.9976133651551312,0.8328536639362408,0.9721502590673575,0.5127315530438868,5315,3771,1544,0.6185556050194903,0.7819046005216297,4,8,Logistic Regression,clean,16,central,fixed_0.5,42,0.13272587500000554
0.7728232809199719,0.8732431715725272,0.8199701195219123,0.6269430051813472,0.6231500831955901,5315,3771,1544,0.7303285538806519,0.8672498274669226,4,8,Random Forest,clean,16,central,fixed_0.5,42,5.929953666999978
0.7654201068479844,0.835852559002917,0.7990873367980733,0.6256476683937824,0.6051024453045672,5315,3771,1544,0.6927630141672952,0.834259080552351,4,8,XGBoost,clean,16,central,fixed_0.5,42,0.6704291249999983
0.7455173903650897,0.915141872182445,0.8216666666666667,0.7629533678756477,0.5760942521533987,5315,3771,1544,0.6909168758578902,0.8287722098670842,4,8,Compact MLP,clean,16,central,fixed_0.5,42,2.6838458329999924
0.6470476190476191,0.9947291361639824,0.784073860357761,0.9957012358946803,0.49951395013465105,5276,3415,1861,0.7085889527112346,0.827071880831433,5,15,Logistic Regression,clean,64,central,fixed_0.5,42,3.018139958000006
0.7217542120911794,0.8530014641288434,0.7819084686619245,0.6034390112842558,0.6247812264222938,5276,3415,1861,0.7141696359661166,0.8039185407874954,5,15,Random Forest,clean,64,central,fixed_0.5,42,13.831497082999988
0.7124907612712491,0.8468521229868229,0.7738827936847739,0.6270822138635143,0.6098849545616543,5276,3415,1861,0.7215487351925121,0.8300985765627936,5,15,XGBoost,clean,64,central,fixed_0.5,42,1.6362749589999908
0.6803296006761039,0.9428989751098097,0.7903780068728522,0.8130037614185922,0.5649476068456087,5276,3415,1861,0.7020843184012122,0.8155300280334625,5,15,Compact MLP,clean,64,central,fixed_0.5,42,2.5794297909999955
0.6480670348505047,0.9964860907759883,0.7853681052388646,0.9930145083288554,0.5017357912235664,5276,3415,1861,0.6406758752319908,0.7490045606024401,5,15,Logistic Regression,clean,32,central,fixed_0.5,42,0.39748775000001046
0.7242319127849356,0.8559297218155197,0.7845926721245471,0.5980655561526061,0.6289320828314569,5276,3415,1861,0.7221853676804375,0.8181715836763641,5,15,Random Forest,clean,32,central,fixed_0.5,42,8.589587749999993
0.7205108940646131,0.8424597364568082,0.7767278617710583,0.599677592692101,0.6213910718823535,5276,3415,1861,0.7316491786795776,0.8425360304404672,5,15,XGBoost,clean,32,central,fixed_0.5,42,0.928742958999976
0.6980541265936032,0.913909224011713,0.7915292924169414,0.7254164427727029,0.5942463906195051,5276,3415,1861,0.7299235364415453,0.8432136547055691,5,15,Compact MLP,clean,32,central,fixed_0.5,42,4.563645624999992
0.6480882632680236,0.9976573938506589,0.7857472324723247,0.9940891993551854,0.5017840972477368,5276,3415,1861,0.6605312246521218,0.7619015041375411,5,15,Logistic Regression,clean,16,central,fixed_0.5,42,0.1503362079999988
